,Unnamed: 0,year,dur_stay,mode,purpose
143,143,2017,1-3  nights,Air,VFR
144,144,2017,1-3  nights,Air,Miscellaneous
145,145,2017,1-3  nights,Sea,Business
146,146,2017,1-3  nights,Tunnel,Business
147,147,2017,4-7  nights,Air,Holiday
148,148,2017,4-7  nights,Air,Business
149,149,2017,4-7  nights,Air,VFR
150,150,2017,4-7  nights,Air,Miscellaneous
151,151,2017,4-7  nights,Tunnel,Holiday
152,152,2017,4-7  nights,Tunnel,Business
153,153,2017,8-14 nights,Air,Holiday
154,154,2017,8-14 nights,Air,VFR
155,155,2017,15+  nights,Air,Holiday
156,156,2017,15+  nights,Air,VFR
157,157,2017,15+  nights,Air,Miscellaneous
158,158,2017,15+  nights,Sea,VFR
159,159,2017,1-3  nights,Air,Holiday
160,160,2017,1-3  nights,Air,Business
161,161,2017,1-3  nights,Air,VFR
162,162,2017,1-3  nights,Air,Miscellaneous
163,163,2017,1-3  nights,Tunnel,Business
164,164,2017,4-7  nights,Air,Holiday
165,165,2017,4-7  nights,Air,VFR
166,166,2017,4-7  nights,Air,Miscellaneous
167,167,2017,4-7  nights,Sea,Business
168,168,2017,8-14 nights,Air,VFR
169,169,2017,15+  nights,Air,VFR
170,170,2017,1-3  nights,Air,Holiday
171,171,2017,1-3  nights,Air,Business
172,172,2017,1-3  nights,Air,VFR
173,173,2017,4-7  nights,Air,Holiday
174,174,2017,4-7  nights,Air,Business
175,175,2017,4-7  nights,Air,VFR
176,176,2017,8-14 nights,Air,VFR
177,177,2017,1-3  nights,Air,Holiday
178,178,2017,1-3  nights,Air,Business
179,179,2017,1-3  nights,Air,VFR
180,180,2017,1-3  nights,Air,Miscellaneous
181,181,2017,4-7  nights,Air,Holiday
182,182,2017,4-7  nights,Air,Business
183,183,2017,4-7  nights,Air,VFR
184,184,2017,4-7  nights,Air,Miscellaneous
185,185,2017,8-14 nights,Air,Holiday
186,186,2017,8-14 nights,Air,Business
187,187,2017,8-14 nights,Air,VFR
188,188,2017,15+  nights,Air,VFR
189,189,2017,15+  nights,Air,Study
190,190,2017,1-3  nights,Air,Holiday
191,191,2017,1-3  nights,Air,Business
192,192,2017,1-3  nights,Air,VFR
193,193,2017,1-3  nights,Air,Miscellaneous
194,194,2017,4-7  nights,Air,Holiday
195,195,2017,4-7  nights,Air,Business
196,196,2017,4-7  nights,Air,VFR
197,197,2017,8-14 nights,Air,Holiday
198,198,2017,15+  nights,Air,VFR
199,199,2017,1-3  nights,Air,Holiday
200,200,2017,1-3  nights,Air,Business
201,201,2017,1-3  nights,Air,VFR
202,202,2017,1-3  nights,Air,Miscellaneous
203,203,2017,1-3  nights,Sea,Business
204,204,2017,1-3  nights,Sea,VFR
205,205,2017,1-3  nights,Tunnel,VFR
206,206,2017,4-7  nights,Air,Holiday
207,207,2017,4-7  nights,Air,Business
208,208,2017,4-7  nights,Air,VFR
209,209,2017,4-7  nights,Sea,VFR
210,210,2017,8-14 nights,Air,Holiday
211,211,2017,8-14 nights,Air,Business
212,212,2017,8-14 nights,Air,VFR
213,213,2017,8-14 nights,Air,Miscellaneous
214,214,2017,8-14 nights,Sea,VFR
215,215,2017,15+  nights,Air,Holiday
216,216,2017,15+  nights,Air,VFR
217,217,2017,15+  nights,Sea,Business
218,218,2017,15+  nights,Sea,VFR
219,219,2017,15+  nights,Sea,Miscellaneous
220,220,2017,1-3  nights,Air,Holiday
221,221,2017,1-3  nights,Air,Business
222,222,2017,1-3  nights,Air,VFR
223,223,2017,4-7  nights,Air,Holiday
224,224,2017,4-7  nights,Air,Business
225,225,2017,4-7  nights,Air,VFR
226,226,2017,8-14 nights,Air,VFR
227,227,2017,15+  nights,Air,Business
228,228,2017,15+  nights,Air,VFR
229,229,2017,1-3  nights,Air,Holiday
230,230,2017,1-3  nights,Air,Business
231,231,2017,1-3  nights,Air,VFR
232,232,2017,1-3  nights,Air,Miscellaneous
233,233,2017,4-7  nights,Air,Holiday
234,234,2017,4-7  nights,Air,Business
235,235,2017,4-7  nights,Air,VFR
236,236,2017,4-7  nights,Tunnel,Business
237,237,2017,8-14 nights,Air,Holiday
238,238,2017,8-14 nights,Air,VFR
239,239,2017,15+  nights,Air,Business
240,240,2017,15+  nights,Tunnel,Miscellaneous
241,241,2017,1-3  nights,Air,Holiday
242,242,2017,1-3  nights,Air,Business
243,243,2017,1-3  nights,Air,VFR
