Travel_Date,Travel_Type,Trip_Length_Days,Reason_For_Travel
13/03/2019,Train,,Member portfolio/Council business (Elected Members only)
29/03/2019,Train,,Member portfolio/Council business (Elected Members only)
03/07/2018,Train,0.0,Conference - as an attendee
05/07/2018,Train,0.0,Conference - as an attendee
12/07/2018,Train,0.0,Meeting with other external bodies
06/03/2019,Train,,Member portfolio/Council business (Elected Members only)
29/01/2019,Train,0.0,Conference - as an attendee
30/01/2019,Train,0.0,Conference - as an attendee
06/06/2018,Train,0.0,Other
06/06/2018,Train,0.0,Other
28/11/2018,Train,2.0,Conference - as an exhibitor/presenter
27/11/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
26/03/2019,Train,,Conference - as an attendee
26/03/2019,Train,,Conference - as an attendee
07/09/2018,Train,1.0,Member portfolio/Council business (Elected Members only)
26/10/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
29/03/2019,Train,,Member portfolio/Council business (Elected Members only)
