,Travel_Date,Travel_Type,Trip_Length_Days,Reason_For_Travel
100,2018-06-09,Train,0.0,Member portfolio/Council business (Elected Members only)
101,2018-08-11,Train,0.0,Member portfolio/Council business (Elected Members only)
102,13/11/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
103,2018-11-12,Train,0.0,Member portfolio/Council business (Elected Members only)
104,2019-01-02,Train,0.0,Member portfolio/Council business (Elected Members only)
105,14/02/2019,Train,0.0,Member portfolio/Council business (Elected Members only)
106,13/03/2019,Train,,Member portfolio/Council business (Elected Members only)
107,29/03/2019,Train,,Member portfolio/Council business (Elected Members only)
108,2018-03-07,Train,0.0,Conference - as an attendee
109,2018-05-07,Train,0.0,Conference - as an attendee
110,2018-12-07,Train,0.0,Meeting with other external bodies
111,2019-06-03,Train,,Member portfolio/Council business (Elected Members only)
112,29/01/2019,Train,0.0,Conference - as an attendee
113,30/01/2019,Train,0.0,Conference - as an attendee
114,2018-06-06,Train,0.0,Other
115,2018-06-06,Train,0.0,Other
116,28/11/2018,Train,2.0,Conference - as an exhibitor/presenter
117,27/11/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
118,26/03/2019,Train,,Conference - as an attendee
119,26/03/2019,Train,,Conference - as an attendee
120,2018-07-09,Train,1.0,Member portfolio/Council business (Elected Members only)
121,26/10/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
122,29/03/2019,Train,,Member portfolio/Council business (Elected Members only)
123,2017-07-11,Train,0.0,Member portfolio/Council business (Elected Members only)
124,2017-07-11,Train,0.0,Member portfolio/Council business (Elected Members only)
125,2017-03-05,Train,0.0,Meeting with other public sector organisations
126,2017-09-05,Train,0.0,Meeting with other external bodies
127,2017-10-05,Train,1.0,Meeting with other public sector organisations
128,24/05/2017,Train,0.0,Conference - as an exhibitor/presenter
129,15/06/2017,Flight,0.0,Meeting with other public sector organisations
130,15/06/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
131,2017-04-07,Train,0.0,Conference - as an attendee
132,2017-06-07,Train,0.0,Conference - as an attendee
133,2017-07-07,Train,0.0,Member portfolio/Council business (Elected Members only)
134,17/07/2017,Train,1.0,Member portfolio/Council business (Elected Members only)
135,19/07/2017,Train,1.0,Member portfolio/Council business (Elected Members only)
136,2017-01-09,Flight,1.0,Meeting with other public sector organisations
137,2017-12-09,Train,0.0,Member portfolio/Council business (Elected Members only)
138,28/09/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
139,2017-06-10,Train,0.0,Member portfolio/Council business (Elected Members only)
140,2017-08-10,Train,1.0,Member portfolio/Council business (Elected Members only)
141,17/10/2017,Train,0.0,Meeting with other public sector organisations
142,19/10/2017,Train,0.0,Meeting with other external bodies
143,2017-03-11,Train,0.0,Member portfolio/Council business (Elected Members only)
144,2017-09-11,Train,0.0,Member portfolio/Council business (Elected Members only)
145,13/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
146,24/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
147,27/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
148,2017-07-12,Train,0.0,Member portfolio/Council business (Elected Members only)
149,14/12/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
150,14/12/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
151,14/12/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
152,23/01/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
153,25/01/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
154,2018-07-02,Train,1.0,Member portfolio/Council business (Elected Members only)
155,22/02/2018,Train,1.0,Member portfolio/Council business (Elected Members only)
156,27/02/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
157,2018-05-02,Train,0.0,Conference - as an attendee
158,2018-06-02,Train,0.0,Conference - as an attendee
159,14/03/2018,Train,0.0,Conference - as an attendee
160,14/03/2018,Train,0.0,Conference - as an attendee
161,22/03/2018,Train,0.0,Conference - as an attendee
162,25/04/2017,Train,0.0,Meeting with other public sector organisations
163,23/11/2017,Train,0.0,LCC hosted event  Externally funded
164,24/11/2017,Train,0.0,LCC hosted event  Externally funded
165,2017-01-06,Train,0.0,Meeting with other public sector organisations
166,2017-01-06,Train,0.0,Meeting with other public sector organisations
167,24/10/2017,Train,0.0,Meeting with other public sector organisations
168,24/10/2017,Train,0.0,Meeting with other public sector organisations
169,2017-12-06,Train,0.0,Member portfolio/Council business (Elected Members only)
170,2017-12-06,Train,0.0,Member portfolio/Council business (Elected Members only)
171,2017-04-07,Train,0.0,Conference - as an attendee
172,2017-06-07,Train,0.0,Conference - as an attendee
173,2017-06-10,Train,0.0,Meeting with other public sector organisations
174,2017-06-10,Train,0.0,Meeting with other public sector organisations
175,21/09/2017,Train,0.0,Conference - as an attendee
176,2017-12-12,Train,0.0,Member portfolio/Council business (Elected Members only)
177,17/11/2017,Train,0.0,Conference - as an attendee
178,17/11/2017,Train,0.0,Conference - as an attendee
179,2017-12-12,Train,0.0,Member portfolio/Council business (Elected Members only)
180,2017-12-12,Train,0.0,Member portfolio/Council business (Elected Members only)
181,21/09/2017,Train,0.0,Conference - as an attendee
182,2017-07-10,Train,0.0,Meeting with other public sector organisations
183,29/11/2017,Train,0.0,Conference - as an attendee
184,2017-07-11,Train,0.0,Member portfolio/Council business (Elected Members only)
185,2017-07-11,Train,0.0,Member portfolio/Council business (Elected Members only)
186,15/06/2017,Train,0.0,Meeting with other public sector organisations
187,22/06/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
188,2017-05-07,Train,0.0,Member portfolio/Council business (Elected Members only)
189,2017-07-10,Train,0.0,Member portfolio/Council business (Elected Members only)
190,25/10/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
191,25/10/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
192,21/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
193,30/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
194,22/01/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
195,18/07/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
196,2017-07-11,Train,0.0,Member portfolio/Council business (Elected Members only)
197,2017-07-11,Train,0.0,Member portfolio/Council business (Elected Members only)
198,2017-12-12,Train,0.0,Member portfolio/Council business (Elected Members only)
199,2017-12-12,Train,0.0,Member portfolio/Council business (Elected Members only)
200,2017-09-07,Train,1.0,Conference - as an attendee
201,2018-06-03,Ancillary,,Member portfolio/Council business (Elected Members only)
202,2018-06-03,Train,0.0,Meeting with other public sector organisations
203,2018-06-03,Train,0.0,Meeting with other public sector organisations
204,24/10/2017,Train,0.0,Meeting with other public sector organisations
205,24/10/2017,Train,0.0,Meeting with other public sector organisations
206,18/10/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
207,2017-07-11,Train,0.0,Member portfolio/Council business (Elected Members only)
208,2017-07-11,Train,0.0,Member portfolio/Council business (Elected Members only)
209,2017-12-12,Train,0.0,Member portfolio/Council business (Elected Members only)
210,30/01/2018,Train,0.0,Meeting with other public sector organisations
211,30/01/2018,Train,0.0,Meeting with other public sector organisations
